Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,35,188
4/2/2020,42,230
4/3/2020,37,267
4/4/2020,38,305
4/5/2020,68,373
4/6/2020,80,453
4/7/2020,69,522
4/8/2020,100,622
4/9/2020,111,733
4/10/2020,105,838
4/11/2020,117,955
4/12/2020,110,1065
4/13/2020,161,1226
4/14/2020,120,1346
4/15/2020,175,1521
4/16/2020,169,1690
4/17/2020,166,1856
4/18/2020,167,2023
4/19/2020,171,2194
4/20/2020,169,2363
4/21/2020,158,2521
4/22/2020,152,2673
4/23/2020,187,2860
4/24/2020,193,3053
4/25/2020,145,3198
4/26/2020,150,3348
4/27/2020,160,3508
4/28/2020,140,3648
4/29/2020,154,3802
4/30/2020,132,3934
5/1/2020,165,4099
5/2/2020,125,4224
5/3/2020,131,4355
5/4/2020,116,4471
5/5/2020,120,4591
5/6/2020,84,4675
