Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,36,189
4/2/2020,42,231
4/3/2020,36,267
4/4/2020,37,304
4/5/2020,68,372
4/6/2020,80,452
4/7/2020,71,523
4/8/2020,100,623
4/9/2020,112,735
4/10/2020,107,842
4/11/2020,120,962
4/12/2020,113,1075
4/13/2020,162,1237
4/14/2020,121,1358
4/15/2020,175,1533
4/16/2020,173,1706
4/17/2020,170,1876
4/18/2020,167,2043
4/19/2020,174,2217
4/20/2020,172,2389
4/21/2020,161,2550
4/22/2020,152,2702
4/23/2020,189,2891
4/24/2020,195,3086
4/25/2020,148,3234
4/26/2020,153,3387
4/27/2020,159,3546
4/28/2020,143,3689
4/29/2020,160,3849
4/30/2020,140,3989
5/1/2020,176,4165
5/2/2020,139,4304
5/3/2020,137,4441
5/4/2020,132,4573
5/5/2020,136,4709
5/6/2020,135,4844
5/7/2020,129,4973
5/8/2020,108,5081
5/9/2020,104,5185
5/10/2020,121,5306
5/11/2020,122,5428
5/12/2020,111,5539
5/13/2020,110,5649
5/14/2020,94,5743
5/15/2020,112,5855
5/16/2020,85,5940
5/17/2020,77,6017
5/18/2020,88,6105
5/19/2020,68,6173
5/20/2020,75,6248
5/21/2020,65,6313
5/22/2020,41,6354
