Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,36,189
4/2/2020,42,231
4/3/2020,37,268
4/4/2020,37,305
4/5/2020,68,373
4/6/2020,80,453
4/7/2020,71,524
4/8/2020,100,624
4/9/2020,112,736
4/10/2020,108,844
4/11/2020,120,964
4/12/2020,113,1077
4/13/2020,162,1239
4/14/2020,121,1360
4/15/2020,175,1535
4/16/2020,173,1708
4/17/2020,170,1878
4/18/2020,167,2045
4/19/2020,175,2220
4/20/2020,172,2392
4/21/2020,161,2553
4/22/2020,152,2705
4/23/2020,190,2895
4/24/2020,196,3091
4/25/2020,148,3239
4/26/2020,153,3392
4/27/2020,159,3551
4/28/2020,143,3694
4/29/2020,162,3856
4/30/2020,140,3996
5/1/2020,176,4172
5/2/2020,139,4311
5/3/2020,137,4448
5/4/2020,132,4580
5/5/2020,136,4716
5/6/2020,136,4852
5/7/2020,129,4981
5/8/2020,110,5091
5/9/2020,104,5195
5/10/2020,121,5316
5/11/2020,123,5439
5/12/2020,111,5550
5/13/2020,111,5661
5/14/2020,95,5756
5/15/2020,113,5869
5/16/2020,86,5955
5/17/2020,79,6034
5/18/2020,89,6123
5/19/2020,68,6191
5/20/2020,80,6271
5/21/2020,65,6336
5/22/2020,67,6403
5/23/2020,53,6456
5/24/2020,42,6498
5/25/2020,29,6527
