Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,1,1
3/11/2020,0,0,0,1
3/12/2020,0,0,0,1
3/13/2020,0,0,1,2
3/14/2020,0,0,0,2
3/15/2020,0,0,0,2
3/16/2020,0,0,0,2
3/17/2020,0,0,0,2
3/18/2020,2,2,0,2
3/19/2020,1,3,0,2
3/20/2020,2,5,0,2
3/21/2020,2,7,0,2
3/22/2020,4,11,0,2
3/23/2020,6,17,0,2
3/24/2020,9,26,0,2
3/25/2020,7,33,0,2
3/26/2020,9,42,1,3
3/27/2020,15,57,0,3
3/28/2020,15,72,0,3
3/29/2020,25,97,0,3
3/30/2020,27,124,0,3
3/31/2020,28,152,0,3
4/1/2020,36,188,0,3
4/2/2020,42,230,2,5
4/3/2020,37,267,1,6
4/4/2020,38,305,0,6
4/5/2020,68,373,0,6
4/6/2020,80,453,1,7
4/7/2020,71,524,1,8
4/8/2020,100,624,3,11
4/9/2020,112,736,1,12
4/10/2020,108,844,4,16
4/11/2020,120,964,4,20
4/12/2020,113,1077,6,26
4/13/2020,162,1239,8,34
4/14/2020,121,1360,10,44
4/15/2020,175,1535,7,51
4/16/2020,174,1709,6,57
4/17/2020,170,1879,7,64
4/18/2020,168,2047,7,71
4/19/2020,176,2223,4,75
4/20/2020,172,2395,6,81
4/21/2020,162,2557,1,82
4/22/2020,152,2709,0,82
4/23/2020,189,2898,5,87
4/24/2020,198,3096,4,91
4/25/2020,149,3245,1,92
4/26/2020,152,3397,2,94
4/27/2020,161,3558,6,100
4/28/2020,143,3701,4,104
4/29/2020,165,3866,3,107
4/30/2020,143,4009,0,107
5/1/2020,176,4185,0,107
5/2/2020,140,4325,1,108
5/3/2020,139,4464,3,111
5/4/2020,133,4597,1,112
5/5/2020,137,4734,3,115
5/6/2020,138,4872,5,120
5/7/2020,130,5002,2,122
5/8/2020,109,5111,4,126
5/9/2020,105,5216,5,131
5/10/2020,124,5340,0,131
5/11/2020,125,5465,0,131
5/12/2020,113,5578,2,133
5/13/2020,112,5690,0,133
5/14/2020,98,5788,1,134
5/15/2020,116,5904,0,134
5/16/2020,87,5991,0,134
5/17/2020,79,6070,0,134
5/18/2020,90,6160,0,134
5/19/2020,71,6231,2,136
5/20/2020,81,6312,1,137
5/21/2020,64,6376,1,138
5/22/2020,80,6456,0,138
5/23/2020,66,6522,0,138
5/24/2020,56,6578,0,138
5/25/2020,57,6635,0,138
5/26/2020,71,6706,0,138
5/27/2020,61,6767,0,138
5/28/2020,47,6814,0,138
5/29/2020,59,6873,1,139
5/30/2020,52,6925,0,139
5/31/2020,47,6972,1,140
6/1/2020,20,6992,0,140
6/2/2020,5,6997,0,140
