Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,1,1
3/11/2020,0,0,0,1
3/12/2020,0,0,0,1
3/13/2020,0,0,1,2
3/14/2020,0,0,0,2
3/15/2020,0,0,0,2
3/16/2020,0,0,0,2
3/17/2020,0,0,0,2
3/18/2020,2,2,0,2
3/19/2020,1,3,0,2
3/20/2020,2,5,0,2
3/21/2020,2,7,0,2
3/22/2020,4,11,0,2
3/23/2020,6,17,0,2
3/24/2020,9,26,0,2
3/25/2020,7,33,0,2
3/26/2020,9,42,1,3
3/27/2020,15,57,0,3
3/28/2020,15,72,0,3
3/29/2020,25,97,0,3
3/30/2020,28,125,0,3
3/31/2020,28,153,0,3
4/1/2020,36,189,0,3
4/2/2020,41,230,2,5
4/3/2020,38,268,1,6
4/4/2020,38,306,0,6
4/5/2020,68,374,0,6
4/6/2020,80,454,1,7
4/7/2020,71,525,1,8
4/8/2020,100,625,3,11
4/9/2020,112,737,1,12
4/10/2020,108,845,4,16
4/11/2020,120,965,4,20
4/12/2020,114,1079,6,26
4/13/2020,163,1242,8,34
4/14/2020,122,1364,9,43
4/15/2020,176,1540,7,50
4/16/2020,174,1714,6,56
4/17/2020,168,1882,8,64
4/18/2020,168,2050,7,71
4/19/2020,176,2226,4,75
4/20/2020,173,2399,7,82
4/21/2020,161,2560,2,84
4/22/2020,152,2712,0,84
4/23/2020,191,2903,4,88
4/24/2020,198,3101,5,93
4/25/2020,150,3251,1,94
4/26/2020,152,3403,2,96
4/27/2020,161,3564,6,102
4/28/2020,143,3707,3,105
4/29/2020,166,3873,4,109
4/30/2020,143,4016,2,111
5/1/2020,177,4193,1,112
5/2/2020,143,4336,3,115
5/3/2020,138,4474,4,119
5/4/2020,134,4608,3,122
5/5/2020,137,4745,4,126
5/6/2020,140,4885,8,134
5/7/2020,131,5016,4,138
5/8/2020,111,5127,5,143
5/9/2020,105,5232,8,151
5/10/2020,127,5359,2,153
5/11/2020,126,5485,3,156
5/12/2020,115,5600,4,160
5/13/2020,114,5714,0,160
5/14/2020,99,5813,3,163
5/15/2020,119,5932,3,166
5/16/2020,87,6019,5,171
5/17/2020,82,6101,0,171
5/18/2020,94,6195,1,172
5/19/2020,74,6269,2,174
5/20/2020,84,6353,1,175
5/21/2020,66,6419,3,178
5/22/2020,82,6501,1,179
5/23/2020,70,6571,0,179
5/24/2020,58,6629,2,181
5/25/2020,65,6694,1,182
5/26/2020,71,6765,0,182
5/27/2020,63,6828,2,184
5/28/2020,52,6880,2,186
5/29/2020,57,6937,2,188
5/30/2020,56,6993,1,189
5/31/2020,55,7048,1,190
6/1/2020,34,7082,0,190
6/2/2020,49,7131,0,190
6/3/2020,42,7173,1,191
6/4/2020,43,7216,0,191
6/5/2020,27,7243,0,191
6/6/2020,44,7287,0,191
6/7/2020,37,7324,0,191
6/8/2020,38,7362,0,191
6/9/2020,33,7395,0,191
6/10/2020,34,7429,0,191
6/11/2020,33,7462,1,192
6/12/2020,40,7502,1,193
6/13/2020,26,7528,2,195
6/14/2020,31,7559,0,195
6/15/2020,34,7593,0,195
6/16/2020,16,7609,1,196
6/17/2020,27,7636,0,196
6/18/2020,25,7661,1,197
6/19/2020,32,7693,0,197
6/20/2020,16,7709,0,197
6/21/2020,30,7739,0,197
6/22/2020,22,7761,0,197
6/23/2020,25,7786,1,198
6/24/2020,14,7800,0,198
